family	stage	commit	parent	paths	hunk_or_change	invariant_or_guard	evidence	result
SK	SK-1	1d34cecb261cb3f73e04e4d9cee4c0616635e76f	6c04c783a595f4a809d6328800f1df6a00dafb9a	app/tests/home-presentation.test.mjs;app/web/attention-view.mjs;app/web/home-view.mjs;app/web/settings-view.mjs;app/web/styles.css;engineering/current.md	Review semantics across skins and candidate contrast checks	Review marker is derived only from needs_you; fixed Review semantics do not become skin authority	evidence/skin-review-sk1-20260910/README.md; evidence/skin-review-sk1-20260910/browser.json	inherited by baseline df9
SK	SK-2	c4150126f1bafce6f600112763286851b0f51a9b	a579929edd66544e6aa7cd8cd7d2399fae8265d3	app/server/index.mjs;app/tests/settings-preferences.test.mjs;app/tests/skin-policy.test.mjs;app/tests/static-web-manifest.test.mjs;app/web/index.html;app/web/settings-view.mjs;app/web/skin-policy.js;app/web/styles.css	Single synchronous skin policy and valid effective-token projection	Skin is display preference only; fixed semantics/material remain stable; legacy values are preserved and disclosed	evidence/skin-boundary-sk2-20260910/README.md; evidence/skin-boundary-sk2-20260910/tests.log	inherited by baseline df9
SK	SK-3	7f92f6961cfd3a0d792fdde6bd711a919173ab98	428d1a76b5cb3c9b9f5b2d70380a55303faf8e95	app/tests/skin-presets.test.mjs;app/web/index.html;app/web/settings-view.mjs;app/web/skin-policy.js;app/web/styles.css;tools/contrast-report.mjs	Governed Dystopia preset in the closed token registry	Preset changes Tier-S appearance tokens only; no Review/status authority or runtime contract is created	evidence/dystopia-sk3-20260910/README.md	inherited by baseline df9
SK	SK-3-repair	b7831b58e7ddb173d574d586ef01f6c37f8c37ca	7f92f6961cfd3a0d792fdde6bd711a919173ab98	app/web/settings-view.mjs	Refresh contrast diagnostics after system-theme changes	Refresh preserves draft and focus while recomputing diagnostics	evidence/dystopia-sk3-20260910/README.md	inherited by baseline df9
SK	SK-4	a7ff5c86b0c25e12aa31c73b7245d854a7cf41d2	b7831b58e7ddb173d574d586ef01f6c37f8c37ca	app/web/app.mjs	Deep-link settings exit focus fallback	A deep link without a focusable opener returns focus to a usable Home/session control	evidence/dystopia-sk3-20260910/README.md	inherited by baseline df9
FE05a	M-15/M-16/M-17	0879b32727a379d59de3499c603e84cb8b4e6e22	2e9da09bd163ca128e3cd2f4c91ef61ceec2fc2f	app/web/home-view.mjs;app/web/styles.css;app/web/surface-modules.mjs;app/web/ui-controls.mjs	B-state header shares document gutter; setAction owns visible/trailing/size/label geometry; segment target is explicit	Visible action labels do not wrap; trailing glyph and icon-only geometry have one owner; narrow/coarse segment hit area remains at least 44px	evidence/delivery-rollup-20260910/fe05a/independent-baseline-checks.json; evidence/delivery-rollup-20260910/fe05a/independent-browser-measurements.json; evidence/delivery-rollup-20260910/fe05a/logs/baseline-checks.log; evidence/delivery-rollup-20260910/merge-audit/targeted-154.log	retained; 7/7 baseline checks
FE05a	WK-128	915cca9d0225e2e581f764849cfc8dd12569f304	0879b32727a379d59de3499c603e84cb8b4e6e22	app/web/markdown-reader.css;app/web/settings-view.mjs;app/web/styles.css;app/web/workspace-view.mjs	Shape grammar tokens, radius derivation and single focus offset	Child radius derives from parent/inset; pill is explicit; focus offset stays 2px; shape lint/test guards the grammar	evidence/delivery-rollup-20260910/fe05a/independent-shape-checks.json; evidence/delivery-rollup-20260910/fe05a/logs/shape-governance.test.log; evidence/delivery-rollup-20260910/fe05a/logs/lint-shapes.log; evidence/delivery-rollup-20260910/merge-audit/targeted-154.log	retained; 8/8 shape checks
FE05a	V1	c1a4052e2f3c3276ff1067d9f2ba39c8b2c051e8	915cca9d0225e2e581f764849cfc8dd12569f304	app/web/styles.css	Typography/control density sweep: desktop control 32 to 28; chrome tiers step down; reading/body unchanged	Segmented controls remain 26 where governed, reading/body tokens do not change, and mobile touch targets remain 44px	evidence/delivery-rollup-20260910/fe05a/independent-type-checks.json; evidence/delivery-rollup-20260910/fe05a/independent-browser-measurements.json; evidence/delivery-rollup-20260910/fe05a/logs/type-checks.log; evidence/delivery-rollup-20260910/merge-audit/targeted-154.log	retained; 7/7 type checks
FE05a	M-18	463d57c1f3840ecde9c3bfa8577cd6d552d402af	c1a4052e2f3c3276ff1067d9f2ba39c8b2c051e8	app/tests/work-surface-tabs.test.mjs	Home/work geometry at medium, large and small text scales	The work-surface tab geometry remains valid across all three text-scale states	evidence/delivery-rollup-20260910/fe05a/independent-home-text-scale.json; evidence/delivery-rollup-20260910/fe05a/logs/home-text-scale.log; evidence/delivery-rollup-20260910/merge-audit/targeted-154.log	retained; 3/3 text-scale checks
ICON	WK-163	e2ab3f5ef106b6bcbbbb5a7574282a40904d3faf	ab09b0dee05f73e8e615c0a5f9107a8ba15ff697	app/web/vendor;engineering/design/icon-specimen;engineering/current.md;engineering/design/atlas/README.md;engineering/design/sources.md	EX-IC1/WK-163 keeps Lucide canonical and records donor/provenance rules	Vendor bytes and canonical icon family remain unchanged; source/manifest/license/geometry provenance is explicit	evidence/delivery-rollup-20260910/icon/logs/icon-parity-and-rebuild.log; evidence/delivery-rollup-20260910/icon/logs/vendor-rebuild.log	retained; 101/103 source blobs exact after later maintenance
ICON	generator-maintenance	6169f015f1cacd342f89cd29c2b7acad9a426ef3	e2ab3f5ef106b6bcbbbb5a7574282a40904d3faf	engineering/design/icon-specimen/build.py;engineering/design/icon-specimen/index.html	Generated specimen whitespace/generator hygiene	rstrip line and blank-line normalization are the only later specimen changes; app/web/vendor blobs remain equal	evidence/delivery-rollup-20260910/icon/logs/git-diff-check.log; evidence/delivery-rollup-20260910/icon/logs/git-diff-check-count.log	authorized later; no product vendor change
